"Titulo";"Publicacao"
"A revision of the recent Xenophoridae of the world and of the Australian fossil species (M";"2015-01-16"
"O princâpio constitucional da reduçào das desigualdades regionais e os campos maduro-margi";"2015-01-16"
"Clânica y terapéutica quirúrgica";"2015-01-16"
"0 Grupo Escolar modelo Augusto Severo (1908-1928)";"2015-01-19"
"Computational intellingence";"2015-01-20"
"Simulaçào computacional da interaçào fluido-estrutura em bombas de cavidades progressivas";"2015-01-20"
"A nutriçào do atleta adolescente";"2015-01-21"
"La metaphysique de Royce";"2015-01-24"
"Igualzinho";"2015-01-25"
"El intelectual y su mundo";"2015-01-25"
"Desempenho aeríbio e controle autonômico cardâaco em idosas praticantes de Tai Chi Chuan e";"2015-01-26"
"Os Três porquinhos";"2015-01-26"
"Writings on music, 1965-2000";"2015-01-26"
"Reciclagem do vidro";"2015-01-26"
"Enxaqueca";"2015-01-27"
"Translational perspectives in auditory neuroscience";"2015-01-27"
"A histíria do sabor";"2015-01-28"
"O ofâcio de professor";"2015-01-29"
"Tempo de ensaio";"2015-01-30"
"Controle de atitude e altitude para um veâculo aéreo nào tripulado do tipo quadrirrotor";"2015-01-30"
"Anais [do] III Congresso Brasileiro de Histíria da Educaçào Educaçào Escolar em Perspectiv";"2015-01-30"
"Lições propedêuticas de filosofia do direito";"2015-01-31"
"Por detras da violencia um olhar sobre a cidade";"2015-02-01"
"Calma";"2015-02-01"
"Gramática na escola";"2015-02-01"
"A Relaçào de Euler para poliedros";"2015-02-02"
"Arte contemporânea";"2015-02-04"
"à?lgebra para graduaçào";"2015-02-04"
"Um cordel para Luiz Gonzaga, o menestrel do sertào";"2015-02-05"
"Contabilidade introdutíria";"2015-02-05"
"Teoria do direito e do Estado";"2015-02-06"
"A estrela que queria ser quente";"2015-02-07"
"O essencial do português";"2015-02-07"
"Cérebro esquerdo, cérebro direito";"2015-02-08"
"Tango:";"2015-02-08"
"Contextualized practices in EFL teaching and assessment";"2015-02-09"
"Praticar e consultar a gramática";"2015-02-09"
"Aspectos jurâdicos da clonagem reprodutiva de seres humanos";"2015-02-09"
"Petrografia macroscípica das rochas âgneas, sedimentares e metamírficas";"2015-02-10"
"Terceira metade";"2015-02-11"
"Introduction to special relativity";"2015-02-11"
"Territírio brasileiro";"2015-02-12"
"The importance of being fuzzy";"2015-02-12"
"Opiniào pública e polâtica exterior do Brasil (1961-1964)";"2015-02-12"
"Reformas administrativas no Brasil";"2015-02-14"
"Royalties de petríleo e federaçào";"2015-02-14"
"Neuroética, direito e neurociência | |c";"2015-02-14"
"Institutas do imperador Justiniano";"2015-02-15"
"Em busca da terra da promissào";"2015-02-17"
"O cultivador de amizades";"2015-02-17"
"Fazendo e aprendendo pesquisa qualitativa em educaçào";"2015-02-17"
"Reforma do judiciário";"2015-02-18"
"Nicolas Malebranche";"2015-02-18"
"Tarsila do Amaral";"2015-02-20"
"Fortaleza dos Reis Magos";"2015-02-20"
"Avaliaçào de polâticas urbanas:";"2015-02-21"
"Infância ferida";"2015-02-21"
"Obrigações e contratos";"2015-02-22"
"Tiradentes";"2015-02-23"
"Philosophers without gods";"2015-02-26"
"Envelhecimento e trabalho no tempo do capital";"2015-02-26"
"Criminalâstica";"2015-02-27"
"As 10 faces da inovaçào";"2015-02-27"
"A imagem da marca";"2015-02-28"
"Inter-ações pessoa-ambiente";"2015-03-01"
"O homem da mào seca";"2015-03-01"
"Harry Potter e a Ordem da Fênix";"2015-03-02"
"Livro de resumos do I Encontro Norte, Nordeste e Centro-Oeste sobre formaçào docente para";"2015-03-02"
"Stating behavioral objectives for classroom instruction";"2015-03-03"
"Educaçào fâsica escolar por uma cultura desportiva";"2015-03-03"
"Imagens lúdicas";"2015-03-04"
"O vampiro Lestat";"2015-03-05"
"Cultura organizacional";"2015-03-05"
"Infecções orais e maxilofaciais";"2015-03-05"
"Essentials of writing biomedical research papers";"2015-03-06"
"Projeto, construçào e análise de eficiência térmica de um sistema de aquecimento solar de";"2015-03-06"
"Abjeçào e desejo";"2015-03-06"
"Los procesos metacognitivos en la comprensiín de las prácticas de los estudiantes cuando r";"2015-03-07"
"Handbook of neurosurgery";"2015-03-07"
"Terceirizaçào";"2015-03-08"
"Desigualdade de oportunidades no Brasil";"2015-03-08"
"Atuaçào da escola frente à  violência";"2015-03-08"
"Historia de la filosofia espaà±ola.";"2015-03-09"
"Desenvolvimento da personalidade";"2015-03-09"
"Turismo:";"2015-03-09"
"Teoria da usinagem dos materiais";"2015-03-10"
"Pediatric endocrinology";"2015-03-11"
"Parto e nascimento domiciliar assistidos por parteiras tradicionais";"2015-03-12"
"Gestào estratégica";"2015-03-13"
"A history of publicly held companies in Brazil";"2015-03-15"
"O condutor defensivo";"2015-03-15"
"Mathematical logic in the 20th century";"2015-03-15"
"O vampiro que ri";"2015-03-15"
"Design it yourself graphic workshop";"2015-03-16"
"Por que os homens mentem e as mulheres choram?";"2015-03-16"
"Você";"2015-03-17"
"Chaves para o imaginário";"2015-03-17"
"Interesses difusos e coletivos";"2015-03-18"
"A Didática em questào";"2015-03-18"
"O liberalismo igualitário";"2015-03-19"
"As cartas do caminho sagrado";"2015-03-19"
"The calculi of lambda-conversion";"2015-03-20"
"A fisiologia do gosto";"2015-03-21"
"Nutriçào e adubaçào de tubérculos";"2015-03-22"
"O Municâpio na Constituiçào de 1988";"2015-03-22"
"Curso de direito constitucional positivo";"2015-03-23"
"Mecânica dos fluidos";"2015-03-24"
"à?gua";"2015-03-24"
"O Prâncipe";"2015-03-26"
"The Carolingian empire";"2015-03-27"
"A tour through mathematical logic";"2015-03-27"
"Capacitar";"2015-03-30"
"Mudança dos processos de negícios e adequaçào da Ti nas empresas em decorrência da implant";"2015-03-30"
"Leitor, leitora";"2015-03-30"
"Dios y la filosofia";"2015-03-30"
"""Representações sociais do """"ser idoso"""" e suas implicações na assistência e nas práticas";"2015-03-30"
"O uso da epidemiologia social na enfermagem de saúde coletiva";"2015-03-30"
"Análise fitoecolígica do manguezal e ocupaçào das margens do estuário hipersalino ApodiMos";"2015-03-31"
"Antonin Artaud";"2015-04-01"
"XXIV Bienal Internacional de Sào Paulo, 1998 Japào";"2015-04-01"
"Qualidade em obras públicas";"2015-04-02"
"Introduçào à  filosofia védica";"2015-04-02"
"Psicologia";"2015-04-03"
"Informaçào fluida e conhecimento no ciberespaço";"2015-04-03"
"Actas del II Congreso Internacional sobre los Dominicos y el Nuevo Mundo";"2015-04-04"
"Auschwitz explicado à  minha filha";"2015-04-05"
"Para ler Raymond Williams";"2015-04-06"
"Computational intelligence";"2015-04-06"
"Encontros com o Brasil";"2015-04-06"
"Manual de tipografia";"2015-04-06"
"Estatuto do idoso e normas correlatas";"2015-04-06"
"O milho";"2015-04-07"
"Podcast na educaçào brasileira";"2015-04-09"
"Parece... mas nào é!";"2015-04-09"
"Uma histíria de Deus";"2015-04-09"
"Otorrinolaringologia pediátrica";"2015-04-10"
"Breviário do coronel Francisco Heráclio do Rêgo";"2015-04-10"
"Frederic Skinner";"2015-04-11"
"Quantum physics";"2015-04-11"
"Color design workbook";"2015-04-11"
"Atlas de colposcopia";"2015-04-12"
"La inteligencia se construye usándola";"2015-04-12"
"Auditoria ambiental";"2015-04-13"
"Regional development and conflict management";"2015-04-15"
"Melhoramento e produçào de milho";"2015-04-16"
"Les effets des arrêts de la Cour interaméricaine des droits de l'homme";"2015-04-16"
"Incompleteness in the land of sets";"2015-04-16"
"Homem nào chora";"2015-04-16"
"Estatuto da criança e do adolescente comentado";"2015-04-16"
"Histíria como histíria da liberdade";"2015-04-16"
"Lei de diretrizes e bases da educaçào";"2015-04-17"
"How to sing";"2015-04-17"
"Amazonas, pátria da água";"2015-04-17"
"O crime do estudante Batista";"2015-04-17"
"O mestre da sensibilidade";"2015-04-18"
"The mathematics of collective action";"2015-04-18"
"Processo tributário";"2015-04-19"
"A new kind of science";"2015-04-19"
"Maritain, un maà®tre pour notre temps";"2015-04-20"
"San Agustân";"2015-04-21"
"Bioquâmica ilustrada";"2015-04-21"
"O discurso autobiográfico nos relatos de viagem de Nâsia Floresta";"2015-04-22"
"Sistema inteligente para diagnístico de patologias na laringe utilizando máquinas de vetor";"2015-04-22"
"Levantamento e avaliaçào das polâticas federais de transporte e seus impactos no uso do so";"2015-04-22"
"O corpo Pilates";"2015-04-25"
"Os cangaceiros";"2015-04-25"
"Métodos de pesquisa em psicologia";"2015-04-25"
"Reforma monetária";"2015-04-25"
"Anais do ENBEQ'97";"2015-04-25"
"Gerência de projetos de software";"2015-04-26"
"Desenvolvimento de um sistema para aplicaçào dos conceitos da tecnologia CAD3D-BIM na indú";"2015-04-27"
"Eu hei-de amar uma pedra";"2015-04-28"
"Historia universal del cine";"2015-04-28"
"Aboliçào";"2015-04-28"
"Fâsico-quâmica";"2015-04-29"
"The great funnies";"2015-04-29"
"A reforma da reforma";"2015-05-01"
"Meio ambiente e sustentabilidade no semiárido";"2015-05-02"
"O romance, v.1:";"2015-05-03"
"Comentários à  lei da cédula de produto rural";"2015-05-03"
"Eutonâa";"2015-05-03"
"Educaçào especial em debate";"2015-05-04"
"El jardin de infantes";"2015-05-05"
"Frankenstein, ou, O moderno prometeu";"2015-05-05"
"Voz e corpo na TV";"2015-05-05"
"Histoire de l'impressionnisme";"2015-05-05"
"Artes marciais mistas";"2015-05-06"
"Amor";"2015-05-06"
"Histíria do corpo";"2015-05-06"
"Mistica do sexo";"2015-05-07"
"Pré-cálculo";"2015-05-08"
"Origin of matter & evolution of galaxies 2003";"2015-05-08"
"Transforming qualitative information";"2015-05-08"
"Impressionistas e pís-impressionistas";"2015-05-09"
"Antologia de textos pedagígicos do século XIX português";"2015-05-11"
"Molecular markers, natural history, and evolution";"2015-05-12"
"Coletanea de artigos tecnicos";"2015-05-13"
"Edital FNMA NÂº 072001";"2015-05-14"
"Vamos brincar de escola?";"2015-05-15"
"Histíria da Revoluçào Liberal de 1842";"2015-05-15"
"Que bicho será que fez a coisa?";"2015-05-16"
"Esta é Silvia";"2015-05-17"
"Programas de saude";"2015-05-18"
"Análise in vitro da atividade antifúngica e de toxicidade da anfotericina B pré-aquecida";"2015-05-19"
"Projeto Jequitinhonha, Estados de Minas Gerais e Bahia";"2015-05-20"
"Por que os homens amam as mulheres poderosas?";"2015-05-20"
"Como entender o mundo dos negocios";"2015-05-20"
"Influência das espécies do plasma de N2+02 nas propriedades fâsico-quâmicas das sueprfâcie";"2015-05-22"
"àtomo e natureza";"2015-05-23"
"Lacrimae rerum";"2015-05-24"
"Manual de retírica literária";"2015-05-24"
"Por amor ao futebol!";"2015-05-26"
"Calculus for the natural and social sciences";"2015-05-26"
"Histologia";"2015-05-27"
"Curso de mercado financeiro";"2015-05-27"
"Metodologia para simulaçào de elementos climáticos em planilha eletrônica";"2015-05-27"
"Profetas da chuva";"2015-05-29"
"O enigma do pássaro de pedra";"2015-05-30"
"Teoria de la musica";"2015-05-30"
"Quimica basica teoria e experimentos";"2015-05-30"
"Neve de primavera";"2015-05-30"
"Formaçào do Brasil Colonial";"2015-05-30"
"Agronegícios e desenvolvimento sustentável";"2015-06-01"
"Pequeno vocabulário português-tupi";"2015-06-02"
"O vira-lata Filé";"2015-06-03"
"Histology and cell biology";"2015-06-04"
"A pessoa humana no mistério do mundo";"2015-06-05"
"The earth's ionosphere";"2015-06-06"
"Aggregation functions";"2015-06-07"
"O povo do lago";"2015-06-08"
"Obrigado por tudo!";"2015-06-08"
"Noções básicas para o residente em cirurgia cardâaca";"2015-06-08"
"Amazônia, esperança do planeta";"2015-06-09"
"Philosophie generale";"2015-06-09"
"Homem em queda";"2015-06-09"
"Eu chovo, tu choves, ele chove _";"2015-06-09"
"Introduçào à  pesquisa operacional";"2015-06-11"
"Atkins' physical chemistry";"2015-06-11"
"Cartas brasileiras (1809-2000)";"2015-06-11"
"Polâtica, cultura e classe na Revoluçào Francesa";"2015-06-13"
"Vade mecum acadêmico de direito Rideel";"2015-06-13"
"O casamento da Bruxa Onilda";"2015-06-14"
"Jitirana";"2015-06-14"
"A estrutura do romance";"2015-06-15"
"Sexo com amor";"2015-06-15"
"Tarcâsio Maia";"2015-06-15"
"Livro de papel";"2015-06-16"
"O mundo do renascimento";"2015-06-16"
"Christianisme et democratie";"2015-06-18"
"Integrais de linha intervalares";"2015-06-18"
"Direito empresarial";"2015-06-19"
"Educaçào fâsica inclusiva na escola";"2015-06-20"
"Terapia intravenosa";"2015-06-20"
"Los verbos espaà±oles";"2015-06-23"
"Guinness World Records, 2011";"2015-06-23"
"O menino";"2015-06-24"
"A concretude do fenômeno turismo e as cidades-patrimônio-mercadoria";"2015-06-25"
"Adolescência, psicanálise e educaçào";"2015-06-25"
"Tropical forage plants";"2015-06-25"
"Segurança pública";"2015-06-26"
"David Baker's Arranging & composing";"2015-06-27"
"Transcomunicaçào";"2015-06-28"
"A águia pousou";"2015-06-28"
"Prática desportiva e qualidade de vida de crianças do bairro de Nova Descoberta";"2015-06-28"
"Estrelas, cúmulos e galáxias. -";"2015-06-29"
"Eu tenho um amigo-";"2015-06-30"
"Circuitos espaciais de produçào da atividade boneleira";"2015-06-30"
"De fato e de direito";"2015-07-01"
"La etica protestante y el espiritu del capitalismo";"2015-07-02"
"Implementaçào da polâtica de assistência social em MossoríRN";"2015-07-02"
"A dieta do abdômen";"2015-07-03"
"L'adolescent et les sports";"2015-07-03"
"Biologia da conservaçào";"2015-07-04"
"Técnicas de oratíria";"2015-07-04"
"150 testes selecionados de direito administrativo. -";"2015-07-05"
"Patologia vegetal practica";"2015-07-05"
"Drums";"2015-07-06"
"Cuadernos de fisiologia normal y patologica";"2015-07-07"
"Djanira";"2015-07-10"
"O Circuito inferior da economia urbana em Mossorí";"2015-07-10"
"A questào das drogas nas relações internacionais:";"2015-07-11"
"Error coding for arithmetic processors";"2015-07-11"
"Nossa gramática";"2015-07-11"
"Electromagnetic compatibility in power electronics";"2015-07-13"
"O ázimo do Siào";"2015-07-13"
"Bases para a transformaçào";"2015-07-14"
"Macbeth";"2015-07-15"
"O trabalho do psicílogo no abrigo institucional";"2015-07-17"
"Structure formation in the universe";"2015-07-17"
"A propriedade e a posse:";"2015-07-18"
"Introduction to robotics";"2015-07-19"
"A Respiraçào e a 1Âª lei da termodinâmica ou- a alma da matéria";"2015-07-20"
"Questões de direito positivo";"2015-07-20"
"Joaquim Nabuco";"2015-07-21"
"Folclore fantástico";"2015-07-22"
"A saúde de nossos filhos";"2015-07-22"
"Mass transfer fundamentals and applications";"2015-07-23"
"Metodologia para formaçào de gestores de polâticas públicas";"2015-07-23"
"Licitações e o estatuto da microempresa e empresa de pequeno porte";"2015-07-26"
"Vade Mecum Saraiva";"2015-07-26"
"A forma fâsica total em 30 minutos por semana";"2015-07-26"
"Lolita";"2015-07-27"
"A segunda Guerra Fria";"2015-07-27"
"Psicoterapia individual e a ciência da psicodinâmica";"2015-07-27"
"China";"2015-07-28"
"Introduçào a engenharia quâmica";"2015-07-28"
"Serviço geolígico do Brasil";"2015-07-29"
"Probability and statistics with reliability, queuing, and computer science applications";"2015-07-30"
"Anais [do] VI Simpísio Nordestino de Alimentaçào de Ruminantes";"2015-08-01"
"Panorama da comunicaçào e das telecomunicações no Brasil";"2015-08-02"
"Biologia";"2015-08-03"
"A inquisiçào na Espanha";"2015-08-06"
"Ações regressivas acidentárias";"2015-08-07"
"Encurtando distâncias";"2015-08-07"
"A reconciliaçào do Brasil com o mar";"2015-08-07"
"Desempenho dos serviços de atençào primária do municâpio de NatalRN para o diagnístico e c";"2015-08-09"
"Anais do VI Simpísio Luso-Brasileiro de Engenharia Sanitaria e Ambiental";"2015-08-09"
"Saberes e fazeres em construçào";"2015-08-10"
"Sistema brasileiro de classificaçao de terras para irrigaçao";"2015-08-11"
"Teoria semiítica do texto";"2015-08-11"
"Nova geraçào de polâtica em ciência, tecnologia e inovaçào";"2015-08-13"
"à?gua boa";"2015-08-13"
"Luz para Todos";"2015-08-13"
"Anais [do] 7. Seminário Brasileiro sobre Homeopatia na Agropecuária Orgânica,06 a 07 de ag";"2015-08-16"
"Mélanges";"2015-08-18"
"O vale do Sào Francisco";"2015-08-19"
"Literatura portuguesa e brasileira";"2015-08-19"
"Estética do sertào";"2015-08-19"
"COBENGE 89";"2015-08-19"
"Dinâmica";"2015-08-20"
"Itinerário musical do Nordeste";"2015-08-20"
"Teoria do Estado";"2015-08-20"
"The world until yesterday";"2015-08-21"
"Lágrimas de compaixào";"2015-08-22"
"Em busca do sentido da obra de Jean Piaget";"2015-08-23"
"Análise aerodinâmica de perfis de asa para aeronaves experimentais tipo JN-1";"2015-08-23"
"Soberania & processos de integraçào";"2015-08-24"
"Risâveis amores";"2015-08-25"
"A música do tempo infinito";"2015-08-25"
"Retalhos e remendos";"2015-08-26"
"Cídigos penal, processo penal e constituiçào federal";"2015-08-26"
"Agricultura e crescimento";"2015-08-27"
"O pacto imperial";"2015-08-27"
"Mecânico rural de manutençào. -";"2015-08-30"
"Computer security";"2015-08-30"
"Repertírio enciclopédico do direito brasileiro";"2015-08-30"
"Vasos de pressào";"2015-08-30"
"A lígica do mercado";"2015-08-31"
"A Casa que Pedro fez";"2015-09-02"
"Geobiology";"2015-09-02"
"Adequaçào ambiental dos postos de combustâveis de Natal e recuperaçào da área degradada";"2015-09-03"
"Fisiopatologia do ciclo menstrual";"2015-09-05"
"Câncer de boca e orofaringe";"2015-09-06"
"Como resolver pequenos conflitos no trabalho";"2015-09-06"
"Adriana Varejào";"2015-09-07"
"O tao das finanças";"2015-09-08"
"Pedrào, o campeào";"2015-09-08"
"Psicologia do envelhecimento";"2015-09-08"
"Violência";"2015-09-11"
"Ulysses";"2015-09-12"
"Tancredo Neves";"2015-09-13"
"Autocura I";"2015-09-15"
"La Dialectica metodo de la filosofia";"2015-09-16"
"Proteçào constitucional do consumidor no âmbito da regulaçào publicitária";"2015-09-17"
"A Aprendizagem de inglês mediada por jogos eletrônicos do tipo MMORPG";"2015-09-18"
"Polâtica social e democracia";"2015-09-18"
"Exploraçào sexual de meninas e adolescentes no Brasil";"2015-09-19"
"Network analysis";"2015-09-19"
"O livro";"2015-09-19"
"O delârio segundo Freud e Jung";"2015-09-20"
"Liberdade e negaçào da vontade";"2015-09-20"
"Actuarial modelling of claim counts";"2015-09-21"
"José do Patrocânio";"2015-09-22"
"O feminino em Atenas";"2015-09-23"
"Trabalho e populaçào em situaçào de rua no Brasil";"2015-09-23"
"Fuzzy topology";"2015-09-23"
"Uma nova tecnologia no pensamento de Herbert Marcuse";"2015-09-24"
"La garantia de los valores hipotecarios";"2015-09-25"
"Socrate";"2015-09-26"
"Baboon metaphysics";"2015-09-27"
"Sistema especialista fuzzy para dimensionamento de bombeio eletrônico";"2015-09-27"
"Maré amarelinha";"2015-09-27"
"Anais do";"2015-09-27"
"A excelência do consírcio";"2015-09-29"
"De castelo em castelo";"2015-09-30"
"Dicionário prático português-russo";"2015-10-02"
"Encontro Internacional de Audiologia";"2015-10-02"
"Contratos mercantis";"2015-10-02"
"Histíria das sociedades americanas";"2015-10-02"
"Atualidades de direito civil";"2015-10-02"
"Histíria concisa do Brasil";"2015-10-03"
"Essas pessoas na sala de jantar";"2015-10-03"
"Sistemas nacionales de ciencia, tecnologia e innovacion en América Latina y el Caribe";"2015-10-03"
"Diagnístico do macrozoneamento ecolígico-econômico sustentável da bacia do Rio Sào Francis";"2015-10-04"
"Neoliberalismo, educaçào e emprego";"2015-10-04"
"Aspectos cardiolígicos em terapia intensiva neonatal e pediátrica";"2015-10-04"
"Polâtica e planejamento de turismo no Brasil";"2015-10-05"
"Prisào e medidas cautelares";"2015-10-06"
"Deus no espelho das palavras";"2015-10-07"
"Eu sou da América do Sul";"2015-10-08"
"Mathematics magic and mystery";"2015-10-09"
"A caminho da agenda 21";"2015-10-09"
"Histírias da Biblia. -";"2015-10-09"
"Legislaçào penal especial";"2015-10-10"
"Estudo do comportamento no estado fresco e endurecido do concreto com incorporaçào de resâ";"2015-10-10"
"O amor que acende a lua";"2015-10-12"
"Gerenciar a inovaçào";"2015-10-13"
"De la grace et de l'humanite de Jesus";"2015-10-13"
"Racismo de estado:";"2015-10-13"
"Images";"2015-10-14"
"Planificaciín territorial del turismo";"2015-10-14"
"A bibliography of mustelids";"2015-10-16"
"As elites agressivas";"2015-10-16"
"Comentários à  lei de licitações e contratos administrativos";"2015-10-16"
"The confessions of Proinsias O'Toole";"2015-10-16"
"Diagnístico por imagem em pediatria e neonatologia";"2015-10-17"
"Novo curso de direito civil";"2015-10-18"
"Anais do 1Âº Simpísio Nacional sobre Tungstenio";"2015-10-18"
"Epidemiologia nutricional";"2015-10-19"
"Arte barroca brasileira";"2015-10-21"
"Avaliaçào de inbidores verdes microemulsionados na inibiçào à  corrosào do aço carbono AIS";"2015-10-22"
"Formal and transcendental logic";"2015-10-23"
"Os rios e a floresta";"2015-10-23"
"A dimensào educativa do Serviço Social";"2015-10-24"
"Estatuto da crianca e do adolescente comentado";"2015-10-24"
"Arche Tupi";"2015-10-25"
"Efeitos do regime de fogo sobre a estrutura de comunidades de Cerrado";"2015-10-26"
"A ascensào do dinheiro";"2015-10-27"
"Shakespeare";"2015-10-29"
"O misterioso homem de Macapá";"2015-11-01"
"Processo produtivo de pís-larvas de camarões penaeâdeos";"2015-11-01"
"Estuarine chemistry";"2015-11-02"
"O modo de ser camponês e a propriedade da terra entre camponeses";"2015-11-02"
"Reflexões linguâsticas e literárias aplicadas ao ensino";"2015-11-02"
"Dimensões";"2015-11-04"
"O bailado esportivo";"2015-11-05"
"Pasos de un peregrino";"2015-11-05"
"Legislaçào aplicada ao controle da poluiçào";"2015-11-06"
"Politician's dilemma";"2015-11-07"
"O mundo e eu";"2015-11-08"
"Formaçào de professores e estágios supervisionados";"2015-11-09"
"Ferrovias inglesas e mobilidade social no nordeste (1850-1900)";"2015-11-09"
"Organizaçào de eventos";"2015-11-10"
"O misterioso rapto de Flor-do-Sereno (";"2015-11-10"
"A casa sonolenta";"2015-11-11"
"Hugo de Carvalho Ramos trechos escolhidos";"2015-11-12"
"A imensidào dos sentidos";"2015-11-13"
"Processo penal";"2015-11-14"
"Polâtica nacional de biodiversidade";"2015-11-14"
"Inclusào escolar de crianças com Sândrome de Down";"2015-11-16"
"Morfologia y estructura del margen continental del Ecuador";"2015-11-16"
"Estudo de adsorvente obtido de terras diatomáceas para remoçào de metais pesados de águas";"2015-11-16"
"Manual elementar de direito hebraico";"2015-11-16"
"Atlas lingà¼âstico do Estado do Ceará";"2015-11-18"
"Estudo sobre o tipo basico do delito de estupro";"2015-11-19"
"Mean temperature-salinity relationships and their application to computing steric height i";"2015-11-20"
"Cultura em números";"2015-11-20"
"Anos de formaçào 1938-1948";"2015-11-20"
"Knowledge contributors";"2015-11-21"
"Efeitos da prática de yoga na memíria e em parâmetros psicolígicos e fisiolígicos de indiv";"2015-11-22"
"Histíria da saúde";"2015-11-23"
"Lugares distantes";"2015-11-23"
"Frederico Godofredo";"2015-11-24"
"Tempo, direito e constituiçào";"2015-11-25"
"Hélio Oiticica";"2015-11-28"
"Strategy for tourism";"2015-11-29"
"Introduçào à  economia";"2015-11-29"
"Efeitos do alongamento e do aquecimento no desempenho isocinético e na atividade eletromio";"2015-11-30"
"Diga xis";"2015-11-30"
"The Cambridge history of twentieth-century music";"2015-12-01"
"Abyssal environment and ecology of the world oceans";"2015-12-01"
"Apontamentos de direito do trabalho";"2015-12-02"
"Foundations of music history";"2015-12-04"
"Prevalência e fatores associados à  sintomatologia dolorosa e a qualidade de vida de odont";"2015-12-05"
"Os impactos da politica industrial sobre a zona costeira";"2015-12-07"
"Curso de cunicultura.-";"2015-12-08"
"O pentateuco em questào";"2015-12-08"
"O trabalho dos assistentes sociais no âmbito hospitalar";"2015-12-09"
"Modern cosmology & philosophy";"2015-12-09"
"Modelando xamàs";"2015-12-10"
"Pluminha procura amigos";"2015-12-10"
"Retrato do artista quando jovem";"2015-12-11"
"Universals, concepts and qualities";"2015-12-11"
"Diversidade cultural brasileira";"2015-12-13"
"Principles of polymer processing";"2015-12-13"
"O CNS e a construçào do SUS";"2015-12-14"
"Um amor grande demais";"2015-12-17"
"Multicultor CPATSA";"2015-12-18"
"O paâs do carnaval";"2015-12-19"
"Livro acessâvel e informática acessâvel";"2015-12-19"
"Relatírio sobre experiências na implantaçào de unidades de referência tecnolígica em siste";"2015-12-21"
"Escrava - ou rainha?";"2015-12-21"
"La dignite humaine et ses assises existentielles";"2015-12-22"
"Strumpet city";"2015-12-22"
"Research methods in librarianship";"2015-12-22"
"Viagem ao fim da noite";"2015-12-22"
"Sementes do SUS";"2015-12-23"
"Agricultura brasileira";"2015-12-23"
"Mistérios do desconhecido";"2015-12-24"
"Passagens da antiguidade ao feudalismo";"2015-12-25"
"Como passar na OAB, 2. fase:";"2015-12-25"
"Forma como atitude";"2015-12-27"
"Devido processo penal";"2015-12-29"
"Análise das provas objetivas de quâmica dos vestibulares da UFRN de 1997 a 2010";"2015-12-30"
"Administraçào com arte";"2015-12-30"
"Saúdeloucura";"2015-12-30"
"A Evoluçào do emprego formal industrial nas cidades médias do Estado do Ceará (Juazeiro do";"2015-12-31"
"La philosophie de Martin Heidegger";"2016-01-01"
"Regularizaçào fundiária urbana";"2016-01-01"
"Sustainable tourism";"2016-01-04"
"Paradigmas brasileiros em ciências da comunicaçào";"2016-01-05"
"Histírias sobre ética";"2016-01-05"
"Finite elements";"2016-01-06"
"Passivos ambientais";"2016-01-07"
"Atravessando lânguas e linguagens";"2016-01-07"
"Desenvolvimento econômico e crise";"2016-01-07"
"Strategy and structure";"2016-01-07"
"Entendendo e dominando o Linux";"2016-01-07"
"Termodinâmica quâmica aplicada";"2016-01-08"
"Obtençào de filtro cerâmico a partir da diatomita e casca de arroz carbonizada visando tra";"2016-01-08"
"Symposium sobre yacimientos de managaneso";"2016-01-08"
"Introduçào à  construçào de algoritmos";"2016-01-10"
"Um leào em familia";"2016-01-10"
"Tecendo vivências e sentidos do câncer infantil";"2016-01-14"
"Mas alla del estado de bienestar";"2016-01-14"
"Tibet, no coraçào do Himalaia";"2016-01-15"
"Polâticas e sistema de saúde no Brasil";"2016-01-16"
"GMMLE";"2016-01-16"
"Maria Dusá";"2016-01-18"
"The tomb in Ancient Egypt";"2016-01-19"
"Estado e redes sociais";"2016-01-21"
"Fronteiras e identidades";"2016-01-21"
"The hippocampus book";"2016-01-23"
"Estudo termoanalâtico de medicamentos de referência, genérico e similar";"2016-01-24"
"O Desafio amazônico";"2016-01-27"
"Avaliaçào da atividade antioxidante e antiproliferativa do extrato aquoso de frutas tropic";"2016-01-29"
"Ecrits";"2016-01-29"
"Transistores";"2016-01-29"
"Três momentos de Oscar Niemeyer  Three moments of Oscar Niemeyer";"2016-01-29"
"Bibi brinca com meninos";"2016-01-30"
"Mundo em descontrole";"2016-01-30"
"Les determinismes et la contingence";"2016-01-31"
"Como conhecer velhacos e receber seus débitos";"2016-02-01"
"O papel das feiras-livres no abastecimento da cidade de Sào Paulo";"2016-02-02"
"Avaliaçào eletromiográfica dos músculos do assoalho pélvico na sândrome dos ovários policâ";"2016-02-02"
"A experiencia Balint";"2016-02-02"
"Energia, desenvolvimento e sustentabilidade";"2016-02-02"
"Jornalismo, cultura e sociedade";"2016-02-03"
"A unificaçào da Europa";"2016-02-04"
"Poesia";"2016-02-05"
"Recent progress in coalescent theory";"2016-02-05"
"A trajetíria dos movimentos socioambientais em Sergipe";"2016-02-06"
"Sem fronteira";"2016-02-06"
"Sào Jorge dos Ilhéus";"2016-02-06"
"The SAP R3 handbook";"2016-02-08"
"Mâdia, representaçào e democracia";"2016-02-10"
"Em casa";"2016-02-11"
"Teoria crâtica e resistência em educaçào";"2016-02-11"
"à‰tica e direitos";"2016-02-12"
